|The Meadow|http://img6.flixcart.com/image/book/7/5/7/the-meadow-275x275-imad8v32tugp9zhj.jpeg|Adrian Levy, Cathy Scott Clark#Books%History and Politics%Military#0143418750#9780143418757#Paperback#2012#Penguin India#N.A.#English|0143418750|9780143418757|
|The Sign|http://img6.flixcart.com/image/book/8/8/1/the-sign-275x275-imad8ywgday4mwsw.jpeg|Thomas De Wesselow#Books%Religion and Spirituality%Religions%Christianity%History#0670921882#9780670921881#Paperback#2012#Penguin#N.A.#English|0670921882|9780670921881|
|Target IBPS-CWE Bank PO Exam With Practice Workbook|http://img5.flixcart.com/image/book/0/3/6/target-ibps-cwe-bank-po-exam-with-practice-workbook-275x275-imad7vg7j4fkwmzn.jpeg|Disha Experts#Books%Entrance Exams Preparation%Banking and Finance%Bank P.O./Officers Exams#9382081036#9789382081036#N.A.#2012#Disha Publication#N.A.#English|9382081036|9789382081036|
|Titanic|http://img8.flixcart.com/image/book/2/2/0/titanic-275x275-imad8az6ja3bzmgd.jpeg|Lawrence Beesley#Books%Biographies and Autobiographies%Personal Memoirs#8192378225#9788192378220#Paperback#2012#Enlighten Publishing#N.A.#English|8192378225|9788192378220|
|Asoka And The Decline Of The Mauryas|http://img7.flixcart.com/image/book/2/4/4/asoka-and-the-decline-of-the-mauryas-275x275-imad8rvxqksgvhsb.jpeg|Romila Thapar#Books%Academic and Professional%University Books%Delhi University%History (Hons)%Ancient India#0198077246#9780198077244#Papecback#2012#Oxford University Press#3rdEdition#English|0198077246|9780198077244|
|Dongri To Dubai: Six Decades of The Mumbai Mafia|http://img7.flixcart.com/image/book/9/4/2/dongri-to-dubai-six-decades-of-the-mumbai-mafia-275x275-imad8z7sn5hwxfsm.jpeg|S Hussain Zaidi#Books%Biographies and Autobiographies%Crime and Criminals%Organized Crime#8174368949#9788174368942#Paperback#2012#Roli Books#N.A.#English|8174368949|9788174368942|
|Chasing Fire|http://img2.flixcart.com/image/book/6/3/6/chasing-fire-275x275-imad8cbfvazzqvzh.jpeg|Nora Roberts#Books%Literature and Fiction%Romance%Suspense#0515150630#9780515150636#Paperback#2012#Jove#N.A.#English|0515150630|9780515150636|
|On The Wealth of Nations|http://img8.flixcart.com/image/book/5/3/5/o-n-the-wealth-of-nations-275x275-imad9gym8xrwuknn.jpeg|P. J. O'Rourke#Books%Business%Investing and Management%Business%Economics%Economic History#818322153X#9788183221535#Paperback#2012#Manjul Publishing House#N.A.#English|818322153X|9788183221535|
|Listening to the Loom: Essays On Literature, Politics, And Violence|http://img8.flixcart.com/image/book/3/0/6/listening-to-the-loom-essays-on-literature-politics-and-violence-275x275-imad9fthssgsgk8g.jpeg|D. R. Nagaraj, Prithvi Datta Chandra Shobhi#Books%Academic and Professional%Political Science%Essays#817824330X#9788178243306#Hardcover#2012#Permanent Black#N.A.#English|817824330X|9788178243306|
|Alice: The Netherworld|http://img5.flixcart.com/image/book/0/4/2/alice-the-netherworld-275x275-imad88z5b9tjpzqw.jpeg|Megha Rao#Books%Literature and Fiction%Fantasy%General#9381791042#9789381791042#Paperback#2012#APK Publishers#N.A.#English|9381791042|9789381791042|
|The Edge of Desire|http://img7.flixcart.com/image/book/4/3/3/the-edge-of-desire-275x275-imad8zqruhhbh9hy.jpeg|Tuhin A. Sinha#Books%Literature and Fiction%Contemporary Women#9350094436#9789350094433#Paperback#2012#Hachette India#N.A.#English|9350094436|9789350094433|
|Tughlaq|http://img6.flixcart.com/image/book/1/3/8/tughlaq-275x275-imad85k3m28nstgy.jpeg|Girish Karnad#Books%Academic and Professional%Social Science%Anthropology%General#0198077130#9780198077138#Paperback#2012#Oxford University Press#2ndEdition#English|0198077130|9780198077138|
|The Hunger Pains: A Parody|http://img3.flixcart.com/image/book/2/0/9/the-hunger-pains-a-parody-275x275-imad8zkgrknadzcq.jpeg|The Hardvard Lampoon#Books%Humor%Parodies#1451668201#9781451668209#Paperback#2012#Simon And Shuster India#N.A.#English|1451668201|9781451668209|
|Empire of the Moghul: The Tainted Throne|http://img6.flixcart.com/image/book/6/0/5/empire-of-the-moghul-the-tainted-throne-275x275-imad85n2ykhbqwk7.jpeg|Alex Rutherford#Books%Literature and Fiction%Others%Historical#0755347609#9780755347605#Hardcover#2012#Headline Review#N.A.#English|0755347609|9780755347605|
|The Power of Habit|http://img7.flixcart.com/image/book/3/6/2/the-power-of-habit-275x275-imad85myygngah7t.jpeg|Charles Duhigg#Books%Business%Investing and Management%Business%Business Writing#0434020362#9780434020362#Paperback#2012#William Heinemann#N.A.#English|0434020362|9780434020362|
|Because I am a Girl|http://img6.flixcart.com/image/book/5/6/3/because-i-am-a-girl-275x275-imad86nrszczujae.jpeg|Plan#Books%Literature and Fiction%Short Stories%Anthologies (multiple authors)#8184001568#9788184001563#Paperback#2012#Random House India#N.A.#English|8184001568|9788184001563|
|The Accidental Godman|http://img6.flixcart.com/image/book/1/3/4/the-accidental-godman-275x275-imad9gyrazh6fpz6.jpeg|Kishore Bhimani#Books%Literature and Fiction%Fantasy%Urban Life#9381506132#9789381506134#Paperback#2012#Manjul Publishing House#N.A.#English|9381506132|9789381506134|
|The Downing Street Years|http://img6.flixcart.com/image/book/6/3/5/the-downing-street-years-275x275-imad88p9tudruhyf.jpeg|Margaret Thatcher#Books%Biographies and Autobiographies%Personal Memoirs#0007456638#9780007456635#Paperback#2012#HarperPress#N.A.#English|0007456638|9780007456635|
|Trishna’s Verbal Ability And Logical Reasoning For The CAT And Other MBA Examinations|http://img5.flixcart.com/image/book/1/6/8/trishna-s-verbal-ability-and-logical-reasoning-for-the-cat-and-other-mba-examinations-275x275-imad9dwg4uegg874.jpeg|Time#Books%Entrance Exams Preparation%MBA%CAT#8131774163#9788131774168#Paperback#2012#Pearson#N.A.#English|8131774163|9788131774168|
|The Information|http://img6.flixcart.com/image/book/7/4/3/the-information-275x275-imad88p8jydwmksq.jpeg|James Gleick#Books%Literature and Fiction%Literary Collections%Literary#0007225741#9780007225743#Paperback#2012#Fourth Estate#N.A.#English|0007225741|9780007225743|
|Impeachment|http://img5.flixcart.com/image/book/7/6/7/impeachment-275x275-imad87yuduq3wmpg.jpeg|Anjali Deshpande#Books%Literature and Fiction%Contemporary Women#935009276X#9789350092767#Paperback#2012#Hachette India#N.A.#English|935009276X|9789350092767|
|The Budget 2012-13|http://img5.flixcart.com//image/book/0/8/1/the-budget-2012-13-275x275-imad7pwc6sgjpjep.jpeg|Taxmann#Books%Business%Investing and Management%Finance%Budgeting#9350710081#9789350710081#Paperback#2012#Taxmann#1stEdititon#English|9350710081|9789350710081|
|The Devotion of Suspect X|http://img6.flixcart.com//image/book/7/3/2/the-devotion-of-suspect-x-275x275-imad7qzch4udxgxu.jpeg|Keigo Higashino#Books%Literature and Fiction%Crime#0349138737#9780349138732#Paperback#2012#Abacus#N.A.#English|0349138737|9780349138732|
|Customer in The Boardroom?: Crafting Customer-Based Business Strategy|http://img5.flixcart.com/image/book/3/5/7/customer-in-the-boardroom-crafting-customer-based-business-strategy-275x275-imad8kycjecpymgj.jpeg|Rama Bijapurkar#Books%Business%Investing and Management%Management%Customer Relations#8132106350#9788132106357#Hardcover#2012#SAGE Publications India Pvt Ltd#1stEdition#English|8132106350|9788132106357|
|Citibank Zomato Restaurant Guide 2012 (Delhi - NCR)|http://img8.flixcart.com/image/book/9/9/0/citibank-zomato-restaurant-guides-2012-delhi-ncr-275x275-imad88rythcxs6u3.jpeg|ZOMATO#Books%Cooking%Food and Wine%Regional and Ethnic%General#9350094991#9789350094990#Paperback#2012#Hachette India#N.A.#English|9350094991|9789350094990|
|Breaking Out: An Indian Woman’s American Journey|http://img8.flixcart.com/image/book/7/8/1/breaking-out-an-indian-woman-s-american-journey-275x275-imad7xjknmpvgqfb.jpeg|Padma Desai#Books%Biographies and Autobiographies%Personal Memoirs#0670085782#9780670085781#Hardcover#2012#Viking#N.A.#English|0670085782|9780670085781|
|The Game changers: 20 extraordinary success stories of entrepreneurs from IIT Kharagpur|http://img7.flixcart.com/img/737/9788184002737.jpg|Yuvnesh Modi, Rahul Kumar, Alok Kothari#Books%Business%Investing and Management%Business%Entrepreneurship#8184002734#9788184002737#Paperback#2012#Random House India#N.A.#English|8184002734|9788184002737|
|Citibank Zomato Restaurant Guide 2012 (Bangalore)|http://img5.flixcart.com/image/book/9/6/9/citibank-zomato-restaurant-guides-2012-bangalore-275x275-imad88qjhjmcrnpj.jpeg|ZOMATO#Books%Cooking%Food and Wine%Regional and Ethnic%General#9350094967#9789350094969#Paperback#2012#Hachette India#N.A.#English|9350094967|9789350094969|
|The Magic|http://img6.flixcart.com/img/399/9781849838399.jpg|Rhonda Byrne#Books%Self-Help%Motivational and Inspirational#1849838399#9781849838399#Paperback#2012#Simon & Schuster India#N.A.#English|1849838399|9781849838399|
|Torn|http://img5.flixcart.com/image/book/7/0/8/torn-275x275-imad835def4kqhzq.jpeg|Amanda Hocking#Books%Literature and Fiction%Fantasy%Contemporary#1447205707#9781447205708#Paperback#2012#Pan Macmillan#N.A.#English|1447205707|9781447205708|
|Citibank Zomato Restaurant Guide 2012 (Pune)|http://img5.flixcart.com/image/book/9/9/0/citibank-zomato-restaurant-guides-2012-delhi-ncr-275x275-imad88qgttadymay.jpeg|ZOMATO#Books%Cooking%Food and Wine%Regional and Ethnic%Asian#9350094975#9789350094976#Paperback#2012#Hachette India#N.A.#English|9350094975|9789350094976|
|One & a Half Wife|http://img5.flixcart.com/image/book/4/8/1/one-and-a-half-wife-275x275-imad8d72ag2ha5gf.jpeg|Meghna Pant#Books%Literature and Fiction%Urban Life#9381626481#9789381626481#Paperback#2012#Westland#N.A.#English|9381626481|9789381626481|
|The Impossible Dead|http://img6.flixcart.com/image/book/5/0/7/the-impossible-dead-275x275-imad7vg7peh2nrrz.jpeg|Rankin Ian#Books%Literature and Fiction%General#1409136507#9781409136507#Paperback#2012#Orion#N.A.#English|1409136507|9781409136507|
|Course In Physics Chemistry Mathematics For IIT And Other Engineering Entrance Exam 2013|http://img6.flixcart.com/image/book/9/7/5/course-in-iit-jee-2013-set-of-3-books-275x275-imad8c3bgwypfagz.jpeg|Tata McGraw - Hill's#Books%Entrance Exams Preparation%Engineering%IIT-JEE#5111128975#9785111128975#Paperback#2012#Tata McGraw - Hill's#1stEdition#English|5111128975|9785111128975|
|Tell Me a Story|http://img6.flixcart.com/image/book/7/3/2/tell-me-a-story-275x275-imad8rump27chyjm.jpeg|Rupa Bajwa#Books%Literature and Fiction%Literary Collections%Literary#144721773X#9781447217732#Hardcover#2012#Pan Macmillan India#N.A.#English|144721773X|9781447217732|
|Breakout Nations: In Pursuit of The Next Economic Miracles|http://img6.flixcart.com/image/book/5/6/8/breakout-nations-in-pursuit-of-the-next-economic-miracle-275x275-imad7wk6f7ccthah.jpeg|Ruchir Sharma#Books%Business%Investing and Management%Business%Economics%Economic Conditions#1846145562#9781846145568#Hardcover#2012#Penguin#N.A.#English|1846145562|9781846145568|
|The Good Muslim|http://img6.flixcart.com/image/book/1/1/5/the-good-muslim-275x275-imad7xjgdgb5hfdp.jpeg|Tahmima Anam#Books%Literature and Fiction%Others%War and Military#0143418114#9780143418115#Paperback#2012#Penguin#N.A.#English|0143418114|9780143418115|
