|Those Small Lil Things: In Life and Love|http://img6.flixcart.com/img/695/9788188575695.jpg|Rahul Saini#Books%Literature and Fiction%Literary Collections%Literary#8188575690#9788188575695#Paperback#2008#Shrishti Publishers & Distributors.#First Edition#English|8188575690|9788188575695|
|One Day|http://img8.flixcart.com/img/592/9781444724592.jpg|David Nicholls#Books%Literature and Fiction%General#1444724592#9781444724592#Paperback#2011#HODDER AND STOUGHTON#Film Tie-In#English|1444724592|9781444724592|
|The Kite Runner|http://img5.flixcart.com/img/856/9781408824856.jpg|Khaled Hosseini#Books%Literature and Fiction%General#140882485X#9781408824856#Paperback#2011#Bloomsbury#N.A.#English|140882485X|9781408824856|
|Jonathan Livingston Seagull: A Story|http://img7.flixcart.com/img/789/9788172235789.jpg|Richard Bach#Books%Literature and Fiction%Literary Collections%Literary#817223578X#9788172235789#Paperback#2005#Harper Collins Publishers Ind Ltd.#Illustrated edition (Reissue)#English|817223578X|9788172235789|
|The Help|http://img5.flixcart.com/img/706/9780141047706.jpg|Kathryn Stockett#Books%Literature and Fiction%Literary Collections%General#0141047704#9780141047706#Paperback#2010#Penguin Pub.#N.A.#English|0141047704|9780141047706|
|The Catcher in the Rye|http://img6.flixcart.com/img/425/9780241950425.jpg|J. D. Salinger#Books%Literature and Fiction%General#0241950422#9780241950425#Paperback#2010#Penguin Books India#N.A.#English|0241950422|9780241950425|
|River Of Smoke|http://img6.flixcart.com/img/155/9780670082155.jpg|Amitav Ghosh#Books%Audio Books%Literature and Fiction#0670082155#9780670082155#Hardcover#2011#Penguin India#N.A.#English|0670082155|9780670082155|
|The Orange Hangover|http://img7.flixcart.com/img/022/9788184953022.jpg|Rahul Saini#Books%Literature and Fiction%Urban Life#818495302X#9788184953022#Paperback#2012#Jaico Publishing House#1stEdition#English|818495302X|9788184953022|
|Eleven Minutes|http://img6.flixcart.com/img/635/9788172235635.jpg|Paulo Coelho#Books%Literature and Fiction%Literary Collections%General#8172235631#9788172235635#Paperback#N.A.#Harper Collins Publishers#1st Edition#English|8172235631|9788172235635|
|The Best Of Me|http://img7.flixcart.com/img/974/9780751542974.jpg|Nicholas Sparks#Books%Literature and Fiction%Romance#0751542970#9780751542974#Paperback#2011#Hachette India/sphere#N.A.#English|0751542970|9780751542974|
|Kane and Abel|http://img5.flixcart.com/img/029/9780330513029.jpg|Jeffrey Archer#Books%Literature and Fiction%Others%Sagas#0330513028#9780330513029#Paperback#2009#Pan Macmillan Limited#30th Anniversary ed#English|0330513028|9780330513029|
|Catch-22|http://img7.flixcart.com/img/017/9780099536017.jpg|Joseph Heller#Books%Literature and Fiction%Others%War and Military#0099536013#9780099536017#Paperback#1994#Vintage#01#English|0099536013|9780099536017|
|The Confession|http://img8.flixcart.com/image/book/8/2/8/the-confession-275x275-imad83cfs9z7fruw.jpeg|John Grisham#Books%Literature and Fiction%Crime#0099545829#9780099545828#Paperback#2011#Arrow#N.A.#English|0099545829|9780099545828|
|Accidentally In Love|http://img6.flixcart.com/img/684/9788192222684.jpg|Nikita Singh#Books%Literature and Fiction%Romance#8192222683#9788192222684#Paperback#2011#Grapevine India Publisher Pvt.Ltd.#N.A.#English|8192222683|9788192222684|
|The God Of Small Things|http://img7.flixcart.com/image/book/5/7/4/the-god-of-small-things-275x275-imad7zytygqs9cqg.jpeg|Arundhati Roy#Books%Literature and Fiction%General#014302857X#9780143028574#Paperback#2002#Penguin#1stEdition#English|014302857X|9780143028574|
|A Walk to Remember|http://img6.flixcart.com/img/482/9780751540482.jpg|Nicholas Sparks#Books%Literature and Fiction%General#075154048X#9780751540482#Paperback#2007#Time Warner#N.A.#English|075154048X|9780751540482|
|WINNER STANDS ALONE|http://img5.flixcart.com/img/681/9780007318681.jpg|Paulo Coelho#Books%Literature and Fiction%Suspense and Thriller#0007318685#9780007318681#Paperback#2009#HarperCollins India Original#1stEdition#English|0007318685|9780007318681|
|The God Of Small Things|http://img6.flixcart.com//image/book/8/8/0/the-god-of-small-things-275x275-imad7yk26pgbcsys.jpeg|Arundhati Roy#Books%Literature and Fiction%General#0143417886#9780143417880#Paperback#2012#Penguin Books India#N.A.#English|0143417886|9780143417880|
|Corporate Atyaachaar : The Comical Journey Of An Office Doormat|http://img6.flixcart.com/img/237/9789380349237.jpg|Abhay Nagarajan#Books%Humor%Business and Professional#9380349237#9789380349237#Paperback#2010#Srishti Publishers#N.A.#English|9380349237|9789380349237|
|The Old Man and the Sea|http://img6.flixcart.com/img/401/9780099908401.jpg|Ernest Hemingway#Books%Literature and Fiction%Literary Collections%General#0099908409#9780099908401#Paperback#1994#Arrow#New ed#English|0099908409|9780099908401|
|Because You loved Me.. : I Don&#39;t Mind Falling in Love, All Over Again|http://img5.flixcart.com/img/268/9789380349268.jpg|Ritwik Mallik#Books%Literature and Fiction%Romance#9380349268#9789380349268#Paperback#2011#Srishti Publishers#N.A.#English|9380349268|9789380349268|
|The Notebook|http://img5.flixcart.com/img/915/9780751538915.jpg|Nicholas Sparks#Books%Literature and Fiction%Romance#0751538914#9780751538915#Paperback#2006#Time Warner Paperbacks#New ed#English|0751538914|9780751538915|
|Life Of Pi|http://img7.flixcart.com/img/482/9780143028482.jpg|Yann Martel#Books%Literature and Fiction%Action and Adventure#0143028480#9780143028482#Paperback:#2002#Penguin#1stEdition#English|0143028480|9780143028482|
|Brida|http://img7.flixcart.com/image/book/5/9/6/brida-275x275-imad9g78zbr3xdg4.jpeg|Paulo Coelho#N.A.#0007278594#9780007278596#Paperback#2008#Harper Collins Publishers#1stEdition#English|0007278594|9780007278596|
|The Old Man and His God|http://img7.flixcart.com/img/019/9780144001019.jpg|Sudha Murthy#Books%Literature and Fiction%Biographical#0144001012#9780144001019#Paperback#2006#Viking Penguin India#1st Edition#English|0144001012|9780144001019|
|My Way Is the Highway|http://img6.flixcart.com/img/060/9780143415060.jpg|Urvashi Gulia#Books%Literature and Fiction%Others%Humorous#0143415069#9780143415060#Paperback#2012#Metro Reads#N.A.#English|0143415069|9780143415060|
|Love Happens Like That|http://img8.flixcart.com/img/022/9789380349022.jpg|Ritwik Mallik#N.A.#9380349022#9789380349022#Paperback#2011#Srishti Publishers & Distributors#7thEdition#English|9380349022|9789380349022|
|The (In) eligible Bachelors|http://img6.flixcart.com/img/639/9788129118639.jpg|Ruchita Misra#Books%Literature and Fiction%Romance%Contemporary#8129118637#9788129118639#Paperback#2011#Rupa#N.A.#English|8129118637|9788129118639|
|Can Love Happen Twice?|http://img7.flixcart.com/img/231/9780143417231.jpg|Ravinder Singh#Books%Literature and Fiction%Romance#0143417231#9780143417231#Paperback#2011#Penguin#N.A.#English|0143417231|9780143417231|
|I'm Not Twenty Four..... I Have Been Nineteen For Five Years|http://img6.flixcart.com/img/622/9788192222622.jpg|Sachin Garg#Books%Literature and Fiction%Contemporary Women#8192222624#9788192222622#paperback#2010#Grapevine India Publishers#N.A.#English|8192222624|9788192222622|
|When loss is Gain|http://img8.flixcart.com/img/414/9788129119414.jpg|Pavan K. Varma#Books%Literature and Fiction%Romance#8129119412#9788129119414#Hardcover#2012#Rain Tree#N.A.#English|8129119412|9788129119414|
|Two Mother And Other Stories|http://img5.flixcart.com//image/book/0/9/1/two-mother-and-other-stories-275x275-imad74svvgs2qj62.jpeg|Khalid Mohamed#Books%Literature and Fiction%Short Stories%Short Stories (single author)#9381607091#9789381607091#paperback#2012#Om Books International#N.A.#English|9381607091|9789381607091|
|Life of Pi|http://img6.flixcart.com/img/897/9780143417897.jpg|Yann Martel#Books%Indian Writing%Children and Teens#0143417894#9780143417897#Paperback#2012#Penguin#N.A.#English|0143417894|9780143417897|
|When A Lawyer Falls In Love|http://img7.flixcart.com/img/055/9788183282055.jpg|Amrita Suresh#Books%Literature and Fiction%Others%Humorous#8183282059#9788183282055#Paperback#2011#Offshoots#N.A.#English|8183282059|9788183282055|
|Animal Farm|http://img7.flixcart.com/img/319/9780143416319.jpg|George Orwell#Books%Literature and Fiction%Literary Collections%General#0143416316#9780143416319#Paperback#2011#Penguin#N.A.#English|0143416316|9780143416319|
|Love In The Time Of Cholera|http://img6.flixcart.com/img/890/9780140123890.jpg|Gabriel Garcia Marquez#Books%Literature and Fiction%Literary Collections%General#014012389X#9780140123890#paperback#1998#Penguin Books India Pvt. Ltd#01#English|014012389X|9780140123890|
